,Flywire_id,Subtype,Dendrite_used
136,720575940616148330,T4a,False
137,720575940621181678,T4a,True
138,720575940611837304,T4a,True
139,720575940624163253,T4a,True
140,720575940628811523,T4a,True
141,720575940630325591,T4a,True
142,720575940621496609,T4a,True
143,720575940638282566,T4a,True
144,720575940632336941,T4a,True
145,720575940624503531,T4a,True
146,720575940625994506,T4a,False
147,720575940638467672,T4a,True
148,720575940621169392,T4a,True
149,720575940620639050,T4a,True
150,720575940620436912,T4a,True
151,720575940641161205,T4a,True
152,720575940617554900,T4a,True
153,720575940626217085,T4a,True
154,720575940619057531,T4a,True
155,720575940628979892,T4a,True
156,720575940615800114,T4a,True
157,720575940608623115,T4a,True
158,720575940623178189,T4a,True
159,720575940629123175,T4a,True
160,720575940626462768,T4a,True
161,720575940627160709,T4a,True
162,720575940613660071,T4a,True
163,720575940607283977,T4a,True
164,720575940622343804,T4a,True
165,720575940638057961,T4a,True
166,720575940621551220,T4a,True
167,720575940628259594,T4a,True
168,720575940609578702,T4a,True
169,720575940622278890,T4a,True
170,720575940614580689,T4a,True
171,720575940618818462,T4a,True
172,720575940614187774,T4a,True
173,720575940620623469,T4a,True
174,720575940609803989,T4a,True
175,720575940604831456,T4a,True
176,720575940608720137,T4a,True
177,720575940635930987,T4a,True
178,720575940622739725,T4a,True
179,720575940620419824,T4a,True
180,720575940615070431,T4a,True
181,720575940623627667,T4a,True
182,720575940629890364,T4a,True
183,720575940608363531,T4a,True
184,720575940646150435,T4a,True
185,720575940631507287,T4a,True
186,720575940633334112,T4a,True
187,720575940631929431,T4a,True
188,720575940619999818,T4a,True
189,720575940620530091,T4a,True
190,720575940629532657,T4a,True
191,720575940623675831,T4a,True
192,720575940641057744,T4a,True
193,720575940637352845,T4a,True
194,720575940617407705,T4a,True
195,720575940639584317,T4a,True
196,720575940626962746,T4a,True
197,720575940614564146,T4a,True
198,720575940608257754,T4a,True
199,720575940638814286,T4a,True
200,720575940612681898,T4a,True
201,720575940624141385,T4a,True
202,720575940607463369,T4a,True
203,720575940625472002,T4a,True
204,720575940627201929,T4a,True
205,720575940623328892,T4a,True
206,720575940629228816,T4a,True
207,720575940623544551,T4a,True
208,720575940623961101,T4a,True
209,720575940622193953,T4a,True
210,720575940633378274,T4a,True
211,720575940613492143,T4a,True
212,720575940636466032,T4a,True
213,720575940617988353,T4a,True
214,720575940610532757,T4a,True
215,720575940618865472,T4a,True
216,720575940618459712,T4a,True
217,720575940641655860,T4a,True
218,720575940621938857,T4a,True
219,720575940610253410,T4a,True
220,720575940632894174,T4a,True
221,720575940639999989,T4a,True
222,720575940633497570,T4a,True
223,720575940625761917,T4a,True
224,720575940612290969,T4a,True
225,720575940612858520,T4a,True
226,720575940614620381,T4a,True
227,720575940614891462,T4a,True
228,720575940635682159,T4a,True
229,720575940629211756,T4a,True
230,720575940624541163,T4a,True
231,720575940635997850,T4a,True
232,720575940646039575,T4a,True
233,720575940629366631,T4a,True
234,720575940631236772,T4a,True
235,720575940633687972,T4a,True
236,720575940625009131,T4a,True
237,720575940633401313,T4a,True
238,720575940620986025,T4a,True
239,720575940614621661,T4a,True
240,720575940623517320,T4a,True
241,720575940618458176,T4a,True
242,720575940607321353,T4a,True
243,720575940622393724,T4a,True
244,720575940626092218,T4a,True
245,720575940637542285,T4a,True
246,720575940620745242,T4a,True
247,720575940632070284,T4a,True
248,720575940625628772,T4a,True
249,720575940603568757,T4a,True
250,720575940630175488,T4a,True
251,720575940630084060,T4a,True
252,720575940632718623,T4a,False
253,720575940618097821,T4a,True
254,720575940627811132,T4a,True
255,720575940617128377,T4a,True
256,720575940643217568,T4a,True
257,720575940627727134,T4a,True
258,720575940631975505,T4a,True
259,720575940630520407,T4a,True
260,720575940631909037,T4a,True
261,720575940636555877,T4a,True
262,720575940624538928,T4a,True
263,720575940643963592,T4a,True
264,720575940614943455,T4a,True
265,720575940626510937,T4a,True
266,720575940634580331,T4a,True
267,720575940621048240,T4a,True
268,720575940622866836,T4a,False
269,720575940622647907,T4a,True
270,720575940621540544,T4a,True
271,720575940638300724,T4a,True
272,720575940615234207,T4a,True
273,720575940638369252,T4a,True
274,720575940623392214,T4a,True
275,720575940634520683,T4a,True
276,720575940626097189,T4a,True
277,720575940618910621,T4a,False
278,720575940618331456,T4a,True
279,720575940619120037,T4a,True
280,720575940614290897,T4a,True
281,720575940622773530,T4a,True
282,720575940627806480,T4a,True
283,720575940632067665,T4a,True
284,720575940621275775,T4a,True
285,720575940623240595,T4a,True
286,720575940629239772,T4a,True
287,720575940637863657,T4a,True
288,720575940620479038,T4a,True
289,720575940634346391,T4a,True
290,720575940610968562,T4a,True
291,720575940615731131,T4a,True
292,720575940617270621,T4a,True
293,720575940631251919,T4a,True
294,720575940616165738,T4a,True
295,720575940623494925,T4a,True
296,720575940631410060,T4a,True
297,720575940619387973,T4a,True
298,720575940621841833,T4a,True
299,720575940625414448,T4a,True
300,720575940631382851,T4a,True
301,720575940640037072,T4a,True
302,720575940633096659,T4a,True
303,720575940641621812,T4a,True
304,720575940613465581,T4a,True
305,720575940616208982,T4a,True
306,720575940621434333,T4a,True
307,720575940628584386,T4a,True
308,720575940605055660,T4a,True
309,720575940623501055,T4a,True
310,720575940614556363,T4a,True
311,720575940630484311,T4a,True
312,720575940622967832,T4a,True
313,720575940639190912,T4a,True
314,720575940625678606,T4a,True
315,720575940624756408,T4a,True
316,720575940631999951,T4a,True
317,720575940633177517,T4a,True
318,720575940624564016,T4a,True
319,720575940604712688,T4a,True
320,720575940620687599,T4a,True
321,720575940620968361,T4a,True
322,720575940658932097,T4a,True
323,720575940632979100,T4a,True
324,720575940604745456,T4a,True
325,720575940620310208,T4a,True
326,720575940620890748,T4a,True
327,720575940622171416,T4a,True
328,720575940620576773,T4a,True
329,720575940630548055,T4a,True
330,720575940617308277,T4a,True
331,720575940639952000,T4a,True
332,720575940631951756,T4a,True
333,720575940622534614,T4a,True
334,720575940623890685,T4a,True
335,720575940637707098,T4a,True
336,720575940617948957,T4a,True
337,720575940635997594,T4a,True
338,720575940626548368,T4a,True
339,720575940614579837,T4a,True
340,720575940627598852,T4a,True
341,720575940639773568,T4a,True
342,720575940609744733,T4a,True
343,720575940634499832,T4a,True
344,720575940618038109,T4a,True
345,720575940636224363,T4a,True
346,720575940628926467,T4a,True
347,720575940617795668,T4a,True
348,720575940635113919,T4a,True
349,720575940633981921,T4a,True
350,720575940637284493,T4a,True
351,720575940612211826,T4a,True
352,720575940637995632,T4a,True
353,720575940619713645,T4a,True
354,720575940643758280,T4a,True
355,720575940614991997,T4a,True
356,720575940622126847,T4a,True
357,720575940661224065,T4a,True
358,720575940603491957,T4a,True
359,720575940622851511,T4a,True
360,720575940624046630,T4a,True
361,720575940628110854,T4a,True
362,720575940616641058,T4a,True
363,720575940617614265,T4a,True
364,720575940623824713,T4a,True
365,720575940636434424,T4a,True
366,720575940620128438,T4a,True
367,720575940632946340,T4a,True
368,720575940599755718,T4a,True
369,720575940623458348,T4a,True
370,720575940637688639,T4a,True
371,720575940622300810,T4a,True
372,720575940640283701,T4a,True
373,720575940634622359,T4a,True
374,720575940614122646,T4a,True
375,720575940613565849,T4a,True
376,720575940634696161,T4a,True
377,720575940626370947,T4a,True
378,720575940632803921,T4a,True
379,720575940620765793,T4a,True
380,720575940635694328,T4a,True
381,720575940622676464,T4a,True
382,720575940620785574,T4a,True
383,720575940635232180,T4a,True
384,720575940621130593,T4a,True
385,720575940637592127,T4a,True
386,720575940635518093,T4a,True
387,720575940622595572,T4a,True
388,720575940625924144,T4a,True
389,720575940629210292,T4a,True
390,720575940630719340,T4a,True
391,720575940629663938,T4a,True
392,720575940641120653,T4a,True
393,720575940632643245,T4a,True
394,720575940635245492,T4a,True
395,720575940641231757,T4a,True
396,720575940606444930,T4a,True
397,720575940620755717,T4a,True
398,720575940638950051,T4a,True
399,720575940627200812,T4a,True
400,720575940626312997,T4a,True
401,720575940634124057,T4a,True
402,720575940608498955,T4a,True
403,720575940615181974,T4a,True
404,720575940615337895,T4a,True
405,720575940623132125,T4a,True
406,720575940623438828,T4a,True
407,720575940649994361,T4a,True
408,720575940637706125,T4a,True
409,720575940615307682,T4a,True
410,720575940634302419,T4a,True
411,720575940644600343,T4a,True
412,720575940621488922,T4a,True
413,720575940645056110,T4a,True
414,720575940637090416,T4a,True
415,720575940632720485,T4a,True
